0,1,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1,1,1,0,1,1
300,1,1,1,1,1,1,1,1,1,0,1,1
400,0,0,1,1,1,1,1,1,1,0,1,1
500,0,0,1,1,1,1,1,1,1,0,1,1
600,0,0,1,1,1,1,1,1,1,1,1,0
700,0,0,1,1,1,0,1,1,1,1,1,0
800,0,0,1,1,1,0,1,1,1,1,1,0
900,0,0,1,1,1,0,1,1,1,0,1,1
1000,0,1,1,1,1,0,1,1,1,0,1,1
1100,0,1,1,1,1,0,1,1,1,0,1,1
1200,1,1,1,1,1,1,1,1,1,0,0,1
1300,1,1,1,1,1,1,1,0,1,0,0,1
1400,1,1,1,1,1,1,0,0,1,0,0,1
1500,1,1,1,1,1,1,0,0,1,0,0,1
1600,1,1,1,1,1,1,0,0,1,0,0,1
1700,1,1,1,1,1,1,0,0,1,0,0,0
1800,1,1,1,1,1,1,0,0,1,0,0,0
1900,1,1,1,1,1,0,0,0,1,0,0,0
2000,1,1,1,1,1,0,0,0,1,0,0,0
2100,1,1,1,1,1,0,0,0,1,0,0,0
2200,1,1,1,1,1,0,0,0,1,0,0,0
2300,1,1,1,1,1,0,0,0,1,0,0,0
2400,1,1,1,0,1,0,0,1,1,0,0,0
2500,1,1,1,0,1,0,0,1,0,0,0,0
2600,1,1,1,0,0,0,0,1,0,0,0,0
2700,1,1,1,0,0,0,0,1,0,0,0,0
2800,1,1,1,0,0,0,0,1,0,0,0,0
2900,1,1,1,0,0,0,0,1,0,0,0,0
3000,1,1,1,0,0,0,0,1,0,0,0,0
3100,1,0,1,0,0,0,0,1,1,0,0,0
3200,1,0,1,0,0,0,0,0,0,0,0,0
3300,1,0,1,0,0,0,0,0,0,0,0,0
3400,1,0,1,0,0,0,0,0,0,0,0,0
3500,1,0,1,0,0,0,0,0,0,0,0,0
3600,1,0,1,0,0,0,0,0,0,0,0,0
3700,1,0,1,0,0,0,0,0,0,0,0,0
3800,1,0,1,0,0,0,0,0,0,0,0,0
3900,1,0,1,0,0,0,0,0,0,0,0,0
4000,1,0,1,0,0,0,0,0,0,0,0,0
4100,1,0,1,0,0,0,0,0,0,0,0,0
4200,1,0,1,0,0,0,0,0,0,0,0,0
4300,1,0,1,0,0,0,0,0,0,0,0,0
4400,0,1,1,1,0,0,0,0,0,0,0,0
4500,0,1,1,1,0,0,0,0,0,0,0,0
4600,0,1,1,1,0,0,0,0,0,0,0,0
4700,0,1,0,0,0,0,0,0,0,0,0,0
4800,0,1,0,0,0,0,0,0,0,0,0,0
4900,0,1,0,0,0,0,0,0,0,0,0,0
5000,1,1,0,0,0,0,0,0,0,0,0,0
5100,1,1,0,0,0,0,0,0,0,0,0,0
5200,1,1,0,0,0,0,0,0,0,0,0,0
5300,1,1,0,0,0,0,0,0,0,0,0,0
5400,1,1,0,0,0,0,0,0,0,0,0,0
5500,1,1,0,0,0,0,0,0,0,0,0,0
5600,1,1,0,0,0,0,0,0,0,0,0,0
5700,1,1,0,0,0,0,0,0,0,0,0,0
5800,1,1,0,0,0,0,0,0,0,0,0,0
5900,1,1,0,0,0,0,0,0,0,0,0,0
6000,1,0,0,0,0,0,0,0,0,0,0,0
6100,1,0,0,0,0,0,0,0,0,0,0,0
6200,1,0,0,0,0,0,0,0,0,0,0,0
6300,1,0,0,0,0,0,0,0,0,0,0,0
6400,1,0,0,0,0,0,0,0,0,0,0,0
6500,1,0,0,0,0,0,0,0,0,0,0,0
6600,1,0,0,0,0,0,0,0,0,0,0,0
6700,0,0,0,0,0,0,0,0,0,0,0,0